Handle,Title,Body (HTML),Included in Online Store,Image Src,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Price,Variant Compare At Price,Track Inventory,Allow Out of Stock Purchases,Available Quantity,SKU,Weight Value,Weight Unit,Dimension Length,Dimension Width,Dimension Height,Dimension Unit,Product Label Enable,Label Title,Label Start Date,Label End Date,SEO Title,SEO Description
bk-bpc5,BPC5 - BPC-157 5mg,"Promotes blood-vessel formation, reduces inflammation and protects cells from damage — studied to speed the healing response in soft tissue, gut lining and joints.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/BPC5.png,Title,Default Title,,,,,626.00,,FALSE,TRUE,,BPC5,,,,,,,FALSE,,,,BPC-157 5mg | BioKissed SA,"Promotes blood-vessel formation, reduces inflammation and protects cells from damage — studied to speed the healing response in soft tissue, gut linin"
bk-aod,AOD - AOD-9604,"Mimics the way natural growth hormone regulates fat metabolism, helping break down stored fat and prevent new fat formation without the broader effects of full-length GH.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/AOD.png,Title,Default Title,,,,,896.00,,FALSE,TRUE,,AOD,,,,,,,FALSE,,,,AOD-9604 | BioKissed SA,"Mimics the way natural growth hormone regulates fat metabolism, helping break down stored fat and prevent new fat formation without the broader effect"
bk-igf1,IGF1 - IGF-1 LR3,"Binds IGF-1 receptors to support anabolic signalling, protein synthesis, recovery pathways and metabolic regulation over an extended half-life.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/IGF1.png,Title,Default Title,,,,,1575.00,,FALSE,TRUE,,IGF1,,,,,,,FALSE,,,,IGF-1 LR3 | BioKissed SA,"Binds IGF-1 receptors to support anabolic signalling, protein synthesis, recovery pathways and metabolic regulation over an extended half-life."
bk-ks10,KS10 - Kisspeptin 10mg,"Activates the hypothalamic-pituitary-gonadal axis, stimulating release of LH and FSH — a core subject in reproductive-hormone research.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/KS10.png,Title,Default Title,,,,,975.00,,FALSE,TRUE,,KS10,,,,,,,FALSE,,,,Kisspeptin 10mg | BioKissed SA,"Activates the hypothalamic-pituitary-gonadal axis, stimulating release of LH and FSH — a core subject in reproductive-hormone research."
bk-ms10,MS10 - MOTS-c 10mg,"Improves how mitochondria produce energy, helping cells burn fat and use glucose more efficiently, and activates AMPK — a key pathway in exercise and metabolic research.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/MS10.png,Title,Default Title,,,,,815.00,,FALSE,TRUE,,MS10,,,,,,,FALSE,,,,MOTS-c 10mg | BioKissed SA,"Improves how mitochondria produce energy, helping cells burn fat and use glucose more efficiently, and activates AMPK — a key pathway in exercise and "
bk-ms20,MS20 - MOTS-c 20mg,"Improves how mitochondria produce energy, helping cells burn fat and use glucose more efficiently, and activates AMPK — a key pathway in exercise and metabolic research.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/MS20.png,Title,Default Title,,,,,1075.00,,FALSE,TRUE,,MS20,,,,,,,FALSE,,,,MOTS-c 20mg | BioKissed SA,"Improves how mitochondria produce energy, helping cells burn fat and use glucose more efficiently, and activates AMPK — a key pathway in exercise and "
bk-ms40,MS40 - MOTS-c 40mg,"Improves how mitochondria produce energy, helping cells burn fat and use glucose more efficiently, and activates AMPK — a key pathway in exercise and metabolic research.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/MS40.png,Title,Default Title,,,,,1375.00,,FALSE,TRUE,,MS40,,,,,,,FALSE,,,,MOTS-c 40mg | BioKissed SA,"Improves how mitochondria produce energy, helping cells burn fat and use glucose more efficiently, and activates AMPK — a key pathway in exercise and "
bk-nad500,NAD500 - NAD+ 500mg,"Acts as a helper molecule in hundreds of metabolic processes, especially mitochondrial energy production; elevated NAD+ is studied for cellular energy and repair pathways central to longevity research.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/NAD500.png,Title,Default Title,,,,,875.00,,FALSE,TRUE,,NAD500,,,,,,,FALSE,,,,NAD+ 500mg | BioKissed SA,"Acts as a helper molecule in hundreds of metabolic processes, especially mitochondrial energy production; elevated NAD+ is studied for cellular energy"
bk-rt10,RT10 - Retatrutide 10mg,"Activates GIP, GLP-1 and glucagon receptors — supporting satiety, more effective insulin use and increased energy expenditure; one of the most closely watched compounds in current metabolic research.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/RT10.png,Title,Default Title,,,,,1075.00,,FALSE,TRUE,,RT10,,,,,,,FALSE,,,,Retatrutide 10mg | BioKissed SA,"Activates GIP, GLP-1 and glucagon receptors — supporting satiety, more effective insulin use and increased energy expenditure; one of the most closely"
bk-rt20,RT20 - Retatrutide 20mg,"Activates GIP, GLP-1 and glucagon receptors — supporting satiety, more effective insulin use and increased energy expenditure; one of the most closely watched compounds in current metabolic research.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/RT20.png,Title,Default Title,,,,,1475.00,,FALSE,TRUE,,RT20,,,,,,,FALSE,,,,Retatrutide 20mg | BioKissed SA,"Activates GIP, GLP-1 and glucagon receptors — supporting satiety, more effective insulin use and increased energy expenditure; one of the most closely"
bk-rt30,RT30 - Retatrutide 30mg,"Activates GIP, GLP-1 and glucagon receptors — supporting satiety, more effective insulin use and increased energy expenditure; one of the most closely watched compounds in current metabolic research.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/RT30.png,Title,Default Title,,,,,1775.00,,FALSE,TRUE,,RT30,,,,,,,FALSE,,,,Retatrutide 30mg | BioKissed SA,"Activates GIP, GLP-1 and glucagon receptors — supporting satiety, more effective insulin use and increased energy expenditure; one of the most closely"
bk-rt40,RT40 - Retatrutide 40mg,"Activates GIP, GLP-1 and glucagon receptors — supporting satiety, more effective insulin use and increased energy expenditure; one of the most closely watched compounds in current metabolic research.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/RT40.png,Title,Default Title,,,,,2175.00,,FALSE,TRUE,,RT40,,,,,,,FALSE,,,,Retatrutide 40mg | BioKissed SA,"Activates GIP, GLP-1 and glucagon receptors — supporting satiety, more effective insulin use and increased energy expenditure; one of the most closely"
bk-ts10,TS10 - Tesamorelin 10mg,Signals the pituitary gland to release growth hormone naturally rather than introducing GH directly; studied for its effect on visceral belly fat linked to metabolic risk.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/TS10.png,Title,Default Title,,,,,1176.00,,FALSE,TRUE,,TS10,,,,,,,FALSE,,,,Tesamorelin 10mg | BioKissed SA,Signals the pituitary gland to release growth hormone naturally rather than introducing GH directly; studied for its effect on visceral belly fat link
bk-ts20,TS20 - Tesamorelin 20mg,Signals the pituitary gland to release growth hormone naturally rather than introducing GH directly; studied for its effect on visceral belly fat linked to metabolic risk.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/TS20.png,Title,Default Title,,,,,1775.00,,FALSE,TRUE,,TS20,,,,,,,FALSE,,,,Tesamorelin 20mg | BioKissed SA,Signals the pituitary gland to release growth hormone naturally rather than introducing GH directly; studied for its effect on visceral belly fat link
bk-tz,TZ - Tirzepatide,"Investigated for its potential to support glucose-dependent insulin secretion, appetite regulation and gastric-emptying pathways.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/TZ.png,Title,Default Title,,,,,1276.00,,FALSE,TRUE,,TZ,,,,,,,FALSE,,,,Tirzepatide | BioKissed SA,"Investigated for its potential to support glucose-dependent insulin secretion, appetite regulation and gastric-emptying pathways."
bk-ts5,TS5 - Tesamorelin 5mg,Signals the pituitary gland to release growth hormone naturally rather than introducing GH directly; studied for its effect on visceral belly fat linked to metabolic risk.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/TS5.png,Title,Default Title,,,,,926.00,,FALSE,TRUE,,TS5,,,,,,,FALSE,,,,Tesamorelin 5mg | BioKissed SA,Signals the pituitary gland to release growth hormone naturally rather than introducing GH directly; studied for its effect on visceral belly fat link
bk-amq5,AMQ5 - 5-Amino-1MQ 5mg,"Investigated for whether influencing NNMT pathways may affect energy expenditure, fat metabolism and body-composition regulation.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/AMQ5.png,Title,Default Title,,,,,601.00,,FALSE,TRUE,,AMQ5,,,,,,,FALSE,,,,5-Amino-1MQ 5mg | BioKissed SA,"Investigated for whether influencing NNMT pathways may affect energy expenditure, fat metabolism and body-composition regulation."
bk-ep10,EP10 - Epithalon 10mg,"Activates telomerase to help lengthen telomeres and slow cellular ageing, and regulates melatonin production — linked to circadian and longevity research.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/EP10.png,Title,Default Title,,,,,686.00,,FALSE,TRUE,,EP10,,,,,,,FALSE,,,,Epithalon 10mg | BioKissed SA,"Activates telomerase to help lengthen telomeres and slow cellular ageing, and regulates melatonin production — linked to circadian and longevity resea"
bk-ep50,EP50 - Epithalon 50mg,"Activates telomerase to help lengthen telomeres and slow cellular ageing, and regulates melatonin production — linked to circadian and longevity research.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/EP50.png,Title,Default Title,,,,,1175.00,,FALSE,TRUE,,EP50,,,,,,,FALSE,,,,Epithalon 50mg | BioKissed SA,"Activates telomerase to help lengthen telomeres and slow cellular ageing, and regulates melatonin production — linked to circadian and longevity resea"
bk-g5k,G5K - HCG 5000iu,Investigated for its ability to stimulate endogenous testosterone production and support reproductive function.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/G5K.png,Title,Default Title,,,,,775.00,,FALSE,TRUE,,G5K,,,,,,,FALSE,,,,HCG 5000iu | BioKissed SA,Investigated for its ability to stimulate endogenous testosterone production and support reproductive function.
bk-slk10,SLK10 - Selank 10mg,"Modulates GABA, serotonin and dopamine systems; studied for reducing anxiety and stress without sedation — a focus of cognitive and stress-response research.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/SLK10.png,Title,Default Title,,,,,896.00,,FALSE,TRUE,,SLK10,,,,,,,FALSE,,,,Selank 10mg | BioKissed SA,"Modulates GABA, serotonin and dopamine systems; studied for reducing anxiety and stress without sedation — a focus of cognitive and stress-response re"
bk-tha1,THA1 - Thymosin Alpha-1,"Investigated for its potential to support T-cell maturation, immune signalling and cytokine activity.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/THA1.png,Title,Default Title,,,,,1325.00,,FALSE,TRUE,,THA1,,,,,,,FALSE,,,,Thymosin Alpha-1 | BioKissed SA,"Investigated for its potential to support T-cell maturation, immune signalling and cytokine activity."
bk-sem10,SEM10 - Semax 10mg,"Increases brain-derived neurotrophic factor (BDNF) to promote neuron growth and survival; studied for effects on focus, mood and cognitive performance.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/SEM10.png,Title,Default Title,,,,,896.00,,FALSE,TRUE,,SEM10,,,,,,,FALSE,,,,Semax 10mg | BioKissed SA,"Increases brain-derived neurotrophic factor (BDNF) to promote neuron growth and survival; studied for effects on focus, mood and cognitive performance"
bk-ss50,SS50 - SS-31 50mg,"Investigated for its ability to bind cardiolipin within the inner mitochondrial membrane, supporting mitochondrial efficiency and ATP production.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/SS50.png,Title,Default Title,,,,,1875.00,,FALSE,TRUE,,SS50,,,,,,,FALSE,,,,SS-31 50mg | BioKissed SA,"Investigated for its ability to bind cardiolipin within the inner mitochondrial membrane, supporting mitochondrial efficiency and ATP production."
bk-fox,FOX - FOXO4-DRI,Disrupts the FOXO4-p53 interaction to allow apoptosis of senescent ('zombie') cells while largely sparing healthy cells — a focus of cellular-ageing research.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/FOX.png,Title,Default Title,,,,,2175.00,,FALSE,TRUE,,FOX,,,,,,,FALSE,,,,FOXO4-DRI | BioKissed SA,Disrupts the FOXO4-p53 interaction to allow apoptosis of senescent ('zombie') cells while largely sparing healthy cells — a focus of cellular-ageing r
bk-ss10,SS10 - SS-31 10mg,"Investigated for its ability to bind cardiolipin within the inner mitochondrial membrane, supporting mitochondrial efficiency and ATP production.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/SS10.png,Title,Default Title,,,,,1075.00,,FALSE,TRUE,,SS10,,,,,,,FALSE,,,,SS-31 10mg | BioKissed SA,"Investigated for its ability to bind cardiolipin within the inner mitochondrial membrane, supporting mitochondrial efficiency and ATP production."
bk-wlv10,WLV10 - Wolverine Blend - BPC-157 + TB-500 10mg (5mg+5mg),"A BPC-157 + TB-500 blend (5mg+5mg): BPC-157 targets rapid localised repair of gut, tendons and ligaments while TB-500 promotes whole-body healing, flexibility and blood-vessel formation — researched for accelerated recovery across multiple tissue types.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/WLV10.png,Title,Default Title,,,,,976.00,,FALSE,TRUE,,WLV10,,,,,,,FALSE,,,,Wolverine Blend - BPC-157 + TB-500 10mg (5mg+5mg) | BioKissed SA,"A BPC-157 + TB-500 blend (5mg+5mg): BPC-157 targets rapid localised repair of gut, tendons and ligaments while TB-500 promotes whole-body healing, fle"
bk-bt20,BT20 - BPC-157 + TB-500 20mg,"A BPC-157 + TB-500 blend: BPC-157 targets rapid localised repair while TB-500 promotes whole-body healing, flexibility and blood-vessel formation — researched for accelerated recovery across multiple tissue types.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/BT20.png,Title,Default Title,,,,,1376.00,,FALSE,TRUE,,BT20,,,,,,,FALSE,,,,BPC-157 + TB-500 20mg | BioKissed SA,"A BPC-157 + TB-500 blend: BPC-157 targets rapid localised repair while TB-500 promotes whole-body healing, flexibility and blood-vessel formation — re"
bk-glw70,GLW70 - GLOW Stack 70mg,A regeneration and skin-quality stack: GHK-Cu promotes collagen production and skin regeneration while companion peptides support tissue remodelling and structural repair as a combined formula.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/GLW70.png,Title,Default Title,,,,,1426.00,,FALSE,TRUE,,GLW70,,,,,,,FALSE,,,,GLOW Stack 70mg | BioKissed SA,A regeneration and skin-quality stack: GHK-Cu promotes collagen production and skin regeneration while companion peptides support tissue remodelling a
bk-ghk100,GHK100 - GHK-Cu 100mg,"Stimulates collagen and elastin production, promotes wound healing, reduces inflammation and acts as a powerful antioxidant; the copper complex is widely researched for skin, hair and tissue-remodelling applications.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/GHK100.png,Title,Default Title,,,,,975.00,,FALSE,TRUE,,GHK100,,,,,,,FALSE,,,,GHK-Cu 100mg | BioKissed SA,"Stimulates collagen and elastin production, promotes wound healing, reduces inflammation and acts as a powerful antioxidant; the copper complex is wid"
bk-ghk50,GHK50 - GHK-Cu 50mg,"Stimulates collagen and elastin production, promotes wound healing, reduces inflammation and acts as a powerful antioxidant; the copper complex is widely researched for skin, hair and tissue-remodelling applications.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/GHK50.png,Title,Default Title,,,,,775.00,,FALSE,TRUE,,GHK50,,,,,,,FALSE,,,,GHK-Cu 50mg | BioKissed SA,"Stimulates collagen and elastin production, promotes wound healing, reduces inflammation and acts as a powerful antioxidant; the copper complex is wid"
bk-klw80,KLW80 - KLOW Stack 80mg,"A KLOW stack: GHK-Cu promotes collagen production and copper delivery for skin and tissue regeneration while partner peptides support recovery, hydration and structural repair as a combined formula.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/KLW80.png,Title,Default Title,,,,,1626.00,,FALSE,TRUE,,KLW80,,,,,,,FALSE,,,,KLOW Stack 80mg | BioKissed SA,"A KLOW stack: GHK-Cu promotes collagen production and copper delivery for skin and tissue regeneration while partner peptides support recovery, hydrat"
bk-mt10,MT10 - Melanotan 2 10mg,Activates melanocortin receptors in skin cells to trigger melanin production for a protective tan with UV exposure; also studied for effects on appetite and libido.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/MT10.png,Title,Default Title,,,,,776.00,,FALSE,TRUE,,MT10,,,,,,,FALSE,,,,Melanotan 2 10mg | BioKissed SA,Activates melanocortin receptors in skin cells to trigger melanin production for a protective tan with UV exposure; also studied for effects on appeti
bk-pt10,PT10 - PT-141 10mg,Activates melanocortin receptors in the hypothalamus to trigger natural sexual arousal and desire; unlike some approaches it does not act directly on blood flow.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/PT10.png,Title,Default Title,,,,,755.00,,FALSE,TRUE,,PT10,,,,,,,FALSE,,,,PT-141 10mg | BioKissed SA,Activates melanocortin receptors in the hypothalamus to trigger natural sexual arousal and desire; unlike some approaches it does not act directly on 
bk-snp10,SNP10 - Snap-8 10mg,"Studied for its potential to influence neurotransmitter signalling associated with facial muscle contractions — a topical, cosmetic-research peptide.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/SNP10.png,Title,Default Title,,,,,675.00,,FALSE,TRUE,,SNP10,,,,,,,FALSE,,,,Snap-8 10mg | BioKissed SA,"Studied for its potential to influence neurotransmitter signalling associated with facial muscle contractions — a topical, cosmetic-research peptide."
bk-bac,BAC - Bacteriostatic Water,"Sterile water containing a small amount of benzyl alcohol, used to reconstitute freeze-dried peptides prior to research use. Not a peptide — an essential laboratory consumable.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/BAC.png,Title,Default Title,,,,,0.00,,FALSE,TRUE,,BAC,,,,,,,FALSE,,,,Bacteriostatic Water | BioKissed SA,"Sterile water containing a small amount of benzyl alcohol, used to reconstitute freeze-dried peptides prior to research use. Not a peptide — an essent"
bk-bac10,BAC10 - Bacteriostatic Water 10ml,"Sterile water containing a small amount of benzyl alcohol, used to reconstitute freeze-dried peptides prior to research use. Not a peptide — an essential laboratory consumable.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/BAC10.png,Title,Default Title,,,,,326.00,,FALSE,TRUE,,BAC10,,,,,,,FALSE,,,,Bacteriostatic Water 10ml | BioKissed SA,"Sterile water containing a small amount of benzyl alcohol, used to reconstitute freeze-dried peptides prior to research use. Not a peptide — an essent"
bk-crt,CRT - Cartridge,Replacement cartridge accessory for compatible pen-style reconstitution and delivery devices.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/CRT.png,Title,Default Title,,,,,72.00,,FALSE,TRUE,,CRT,,,,,,,FALSE,,,,Cartridge | BioKissed SA,Replacement cartridge accessory for compatible pen-style reconstitution and delivery devices.
bk-ice,ICE - Ice Pack,Reusable ice pack for temperature-controlled shipping of research compounds.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/ICE.png,Title,Default Title,,,,,35.00,,FALSE,TRUE,,ICE,,,,,,,FALSE,,,,Ice Pack | BioKissed SA,Reusable ice pack for temperature-controlled shipping of research compounds.
bk-tbg,TBG - Thermal Bag,Insulated thermal bag for temperature-controlled delivery of research compounds.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/TBG.png,Title,Default Title,,,,,100.00,,FALSE,TRUE,,TBG,,,,,,,FALSE,,,,Thermal Bag | BioKissed SA,Insulated thermal bag for temperature-controlled delivery of research compounds.
