Product Name,SKU,Category,Description,Price,Currency,Product Type,Image URL,Brand
BPC-157 5mg,BPC5,Tissue Repair & Recovery,"Promotes blood-vessel formation, reduces inflammation and protects cells from damage — studied to speed the healing response in soft tissue, gut lining and joints.",626.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/BPC5.png,BioKissed SA
AOD-9604,AOD,Metabolic & Weight Management,"Mimics the way natural growth hormone regulates fat metabolism, helping break down stored fat and prevent new fat formation without the broader effects of full-length GH.",896.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/AOD.png,BioKissed SA
IGF-1 LR3,IGF1,Metabolic & Weight Management,"Binds IGF-1 receptors to support anabolic signalling, protein synthesis, recovery pathways and metabolic regulation over an extended half-life.",1575.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/IGF1.png,BioKissed SA
Kisspeptin 10mg,KS10,Metabolic & Weight Management,"Activates the hypothalamic-pituitary-gonadal axis, stimulating release of LH and FSH — a core subject in reproductive-hormone research.",975.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/KS10.png,BioKissed SA
MOTS-c 10mg,MS10,Metabolic & Weight Management,"Improves how mitochondria produce energy, helping cells burn fat and use glucose more efficiently, and activates AMPK — a key pathway in exercise and metabolic research.",815.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/MS10.png,BioKissed SA
MOTS-c 20mg,MS20,Metabolic & Weight Management,"Improves how mitochondria produce energy, helping cells burn fat and use glucose more efficiently, and activates AMPK — a key pathway in exercise and metabolic research.",1075.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/MS20.png,BioKissed SA
MOTS-c 40mg,MS40,Metabolic & Weight Management,"Improves how mitochondria produce energy, helping cells burn fat and use glucose more efficiently, and activates AMPK — a key pathway in exercise and metabolic research.",1375.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/MS40.png,BioKissed SA
NAD+ 500mg,NAD500,Metabolic & Weight Management,"Acts as a helper molecule in hundreds of metabolic processes, especially mitochondrial energy production; elevated NAD+ is studied for cellular energy and repair pathways central to longevity research.",875.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/NAD500.png,BioKissed SA
Retatrutide 10mg,RT10,Metabolic & Weight Management,"Activates GIP, GLP-1 and glucagon receptors — supporting satiety, more effective insulin use and increased energy expenditure; one of the most closely watched compounds in current metabolic research.",1075.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/RT10.png,BioKissed SA
Retatrutide 20mg,RT20,Metabolic & Weight Management,"Activates GIP, GLP-1 and glucagon receptors — supporting satiety, more effective insulin use and increased energy expenditure; one of the most closely watched compounds in current metabolic research.",1475.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/RT20.png,BioKissed SA
Retatrutide 30mg,RT30,Metabolic & Weight Management,"Activates GIP, GLP-1 and glucagon receptors — supporting satiety, more effective insulin use and increased energy expenditure; one of the most closely watched compounds in current metabolic research.",1775.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/RT30.png,BioKissed SA
Retatrutide 40mg,RT40,Metabolic & Weight Management,"Activates GIP, GLP-1 and glucagon receptors — supporting satiety, more effective insulin use and increased energy expenditure; one of the most closely watched compounds in current metabolic research.",2175.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/RT40.png,BioKissed SA
Tesamorelin 10mg,TS10,Metabolic & Weight Management,Signals the pituitary gland to release growth hormone naturally rather than introducing GH directly; studied for its effect on visceral belly fat linked to metabolic risk.,1176.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/TS10.png,BioKissed SA
Tesamorelin 20mg,TS20,Metabolic & Weight Management,Signals the pituitary gland to release growth hormone naturally rather than introducing GH directly; studied for its effect on visceral belly fat linked to metabolic risk.,1775.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/TS20.png,BioKissed SA
Tirzepatide,TZ,Metabolic & Weight Management,"Investigated for its potential to support glucose-dependent insulin secretion, appetite regulation and gastric-emptying pathways.",1276.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/TZ.png,BioKissed SA
Tesamorelin 5mg,TS5,Metabolic & Weight Management,Signals the pituitary gland to release growth hormone naturally rather than introducing GH directly; studied for its effect on visceral belly fat linked to metabolic risk.,926.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/TS5.png,BioKissed SA
5-Amino-1MQ 5mg,AMQ5,Metabolic & Weight Management,"Investigated for whether influencing NNMT pathways may affect energy expenditure, fat metabolism and body-composition regulation.",601.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/AMQ5.png,BioKissed SA
Epithalon 10mg,EP10,Longevity & Cellular Health,"Activates telomerase to help lengthen telomeres and slow cellular ageing, and regulates melatonin production — linked to circadian and longevity research.",686.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/EP10.png,BioKissed SA
Epithalon 50mg,EP50,Longevity & Cellular Health,"Activates telomerase to help lengthen telomeres and slow cellular ageing, and regulates melatonin production — linked to circadian and longevity research.",1175.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/EP50.png,BioKissed SA
HCG 5000iu,G5K,Longevity & Cellular Health,Investigated for its ability to stimulate endogenous testosterone production and support reproductive function.,775.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/G5K.png,BioKissed SA
Selank 10mg,SLK10,Longevity & Cellular Health,"Modulates GABA, serotonin and dopamine systems; studied for reducing anxiety and stress without sedation — a focus of cognitive and stress-response research.",896.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/SLK10.png,BioKissed SA
Thymosin Alpha-1,THA1,Longevity & Cellular Health,"Investigated for its potential to support T-cell maturation, immune signalling and cytokine activity.",1325.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/THA1.png,BioKissed SA
Semax 10mg,SEM10,Longevity & Cellular Health,"Increases brain-derived neurotrophic factor (BDNF) to promote neuron growth and survival; studied for effects on focus, mood and cognitive performance.",896.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/SEM10.png,BioKissed SA
SS-31 50mg,SS50,Longevity & Cellular Health,"Investigated for its ability to bind cardiolipin within the inner mitochondrial membrane, supporting mitochondrial efficiency and ATP production.",1875.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/SS50.png,BioKissed SA
FOXO4-DRI,FOX,Longevity & Cellular Health,Disrupts the FOXO4-p53 interaction to allow apoptosis of senescent ('zombie') cells while largely sparing healthy cells — a focus of cellular-ageing research.,2175.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/FOX.png,BioKissed SA
SS-31 10mg,SS10,Longevity & Cellular Health,"Investigated for its ability to bind cardiolipin within the inner mitochondrial membrane, supporting mitochondrial efficiency and ATP production.",1075.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/SS10.png,BioKissed SA
Wolverine Blend - BPC-157 + TB-500 10mg (5mg+5mg),WLV10,Specialty Combination Stacks,"A BPC-157 + TB-500 blend (5mg+5mg): BPC-157 targets rapid localised repair of gut, tendons and ligaments while TB-500 promotes whole-body healing, flexibility and blood-vessel formation — researched for accelerated recovery across multiple tissue types.",976.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/WLV10.png,BioKissed SA
BPC-157 + TB-500 20mg,BT20,Specialty Combination Stacks,"A BPC-157 + TB-500 blend: BPC-157 targets rapid localised repair while TB-500 promotes whole-body healing, flexibility and blood-vessel formation — researched for accelerated recovery across multiple tissue types.",1376.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/BT20.png,BioKissed SA
GLOW Stack 70mg,GLW70,Specialty Combination Stacks,A regeneration and skin-quality stack: GHK-Cu promotes collagen production and skin regeneration while companion peptides support tissue remodelling and structural repair as a combined formula.,1426.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/GLW70.png,BioKissed SA
GHK-Cu 100mg,GHK100,Specialty Combination Stacks,"Stimulates collagen and elastin production, promotes wound healing, reduces inflammation and acts as a powerful antioxidant; the copper complex is widely researched for skin, hair and tissue-remodelling applications.",975.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/GHK100.png,BioKissed SA
GHK-Cu 50mg,GHK50,Specialty Combination Stacks,"Stimulates collagen and elastin production, promotes wound healing, reduces inflammation and acts as a powerful antioxidant; the copper complex is widely researched for skin, hair and tissue-remodelling applications.",775.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/GHK50.png,BioKissed SA
KLOW Stack 80mg,KLW80,Specialty Combination Stacks,"A KLOW stack: GHK-Cu promotes collagen production and copper delivery for skin and tissue regeneration while partner peptides support recovery, hydration and structural repair as a combined formula.",1626.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/KLW80.png,BioKissed SA
Melanotan 2 10mg,MT10,Hormonal & Vitality,Activates melanocortin receptors in skin cells to trigger melanin production for a protective tan with UV exposure; also studied for effects on appetite and libido.,776.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/MT10.png,BioKissed SA
PT-141 10mg,PT10,Hormonal & Vitality,Activates melanocortin receptors in the hypothalamus to trigger natural sexual arousal and desire; unlike some approaches it does not act directly on blood flow.,755.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/PT10.png,BioKissed SA
Snap-8 10mg,SNP10,Hormonal & Vitality,"Studied for its potential to influence neurotransmitter signalling associated with facial muscle contractions — a topical, cosmetic-research peptide.",675.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/SNP10.png,BioKissed SA
Bacteriostatic Water,BAC,Accessories & Consumables,"Sterile water containing a small amount of benzyl alcohol, used to reconstitute freeze-dried peptides prior to research use. Not a peptide — an essential laboratory consumable.",0.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/BAC.png,BioKissed SA
Bacteriostatic Water 10ml,BAC10,Accessories & Consumables,"Sterile water containing a small amount of benzyl alcohol, used to reconstitute freeze-dried peptides prior to research use. Not a peptide — an essential laboratory consumable.",326.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/BAC10.png,BioKissed SA
Cartridge,CRT,Accessories & Consumables,Replacement cartridge accessory for compatible pen-style reconstitution and delivery devices.,72.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/CRT.png,BioKissed SA
Ice Pack,ICE,Options & Delivery,Reusable ice pack for temperature-controlled shipping of research compounds.,35.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/ICE.png,BioKissed SA
Thermal Bag,TBG,Options & Delivery,Insulated thermal bag for temperature-controlled delivery of research compounds.,100.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/TBG.png,BioKissed SA
Delivery Local,DLL,Options & Delivery,Local courier delivery within the metro area.,145.00,ZAR,SERVICE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/DLL.png,BioKissed SA
Delivery National,DLN,Options & Delivery,National courier delivery across South Africa.,249.00,ZAR,SERVICE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/DLN.png,BioKissed SA
ARA-290 10mg,ARA10,Tissue Repair & Recovery,A non-erythropoietic EPO derivative studied for activating the innate repair receptor to reduce inflammation and support nerve and tissue repair.,745.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/ARA10.png,BioKissed SA
Disposable Pen,DPN,Accessories & Consumables,Single-use pen device for convenient reconstitution and measured delivery of research compounds.,526.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/DPN.png,BioKissed SA
Glutathione 600mg,GLU600,Longevity & Cellular Health,"The body's master antioxidant, studied for its role in cellular detoxification, oxidative-stress defence and skin brightening.",675.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/GLU600.png,BioKissed SA
KPV 10mg,KPV10,Tissue Repair & Recovery,A tripeptide fragment of alpha-MSH studied for its anti-inflammatory action in the gut and skin and for supporting tissue healing.,675.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/KPV10.png,BioKissed SA
Lemon Bottle 10ml,LMB10,Metabolic & Weight Management,A lipolytic solution studied for localised fat breakdown; a research injectable investigated for body-contouring applications.,825.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/LMB10.png,BioKissed SA
Mazdutide 10mg,MZ10,Metabolic & Weight Management,"A dual GLP-1 and glucagon receptor agonist studied for appetite regulation, glucose control and increased energy expenditure.",1575.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/MZ10.png,BioKissed SA
NAD+ 1000mg,NAD1000,Metabolic & Weight Management,"Acts as a helper molecule in hundreds of metabolic processes, especially mitochondrial energy production; elevated NAD+ is studied for cellular energy and repair pathways central to longevity research.",1275.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/NAD1000.png,BioKissed SA
Semaglutide 10mg,SG10,Metabolic & Weight Management,"A GLP-1 receptor agonist studied for glucose-dependent insulin secretion, appetite suppression and slowed gastric emptying.",0.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/SG10.png,BioKissed SA
Semaglutide 30mg,SG30,Metabolic & Weight Management,"A GLP-1 receptor agonist studied for glucose-dependent insulin secretion, appetite suppression and slowed gastric emptying.",1175.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/SG30.png,BioKissed SA
SLU-PP-332 5mg,SLU5,Metabolic & Weight Management,An ERR agonist ('exercise mimetic') studied for its potential to increase energy expenditure and fat oxidation without physical exertion.,775.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/SLU5.png,BioKissed SA
Sermorelin 10mg,SRM10,Tissue Repair & Recovery,"A growth-hormone-releasing hormone analogue that signals the pituitary to release growth hormone naturally; studied for recovery, body composition and sleep.",1075.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/SRM10.png,BioKissed SA
Tirzepatide 15mg,TZ15,Metabolic & Weight Management,"Investigated for its potential to support glucose-dependent insulin secretion, appetite regulation and gastric-emptying pathways.",975.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/TZ15.png,BioKissed SA
Tirzepatide 30mg,TZ30,Metabolic & Weight Management,"Investigated for its potential to support glucose-dependent insulin secretion, appetite regulation and gastric-emptying pathways.",1326.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/TZ30.png,BioKissed SA
Tirzepatide 60mg,TZ60,Metabolic & Weight Management,"Investigated for its potential to support glucose-dependent insulin secretion, appetite regulation and gastric-emptying pathways.",1875.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/TZ60.png,BioKissed SA
BPC-157 10mg Research Pen,BPC10P,Tissue Repair & Recovery,"Reconstituted research-pen format for convenient, pre-measured dosing. Promotes blood-vessel formation, reduces inflammation and protects cells from damage — studied to speed the healing response in soft tissue, gut lining and joints.",1125.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/BPC10P.png,BioKissed SA
CJC-1295 + Ipamorelin Research Pen,CJIPP,Tissue Repair & Recovery,"Reconstituted research-pen format for convenient, pre-measured dosing. CJC-1295 extends how long each natural growth-hormone pulse lasts while Ipamorelin adds extra pulses, together creating a sustained increase in natural GH release — researched for recovery, body composition and sleep quality.",1375.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/CJIPP.png,BioKissed SA
DSIP 10mg Research Pen,DSP10P,Tissue Repair & Recovery,"Reconstituted research-pen format for convenient, pre-measured dosing. Crosses the blood-brain barrier and interacts with the central nervous system to promote delta-wave (deep, restorative) sleep — a key subject in sleep-cycle research.",1325.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/DSP10P.png,BioKissed SA
Epithalon 50mg Research Pen,EP50P,Longevity & Cellular Health,"Reconstituted research-pen format for convenient, pre-measured dosing. Activates telomerase to help lengthen telomeres and slow cellular ageing, and regulates melatonin production — linked to circadian and longevity research.",1525.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/EP50P.png,BioKissed SA
KPV 10mg Research Pen,KPV10P,Tissue Repair & Recovery,"Reconstituted research-pen format for convenient, pre-measured dosing. A tripeptide fragment of alpha-MSH studied for its anti-inflammatory action in the gut and skin and for supporting tissue healing.",1025.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/KPV10P.png,BioKissed SA
NAD+ 1000mg Research Pen,NAD1000P,Metabolic & Weight Management,"Reconstituted research-pen format for convenient, pre-measured dosing. Acts as a helper molecule in hundreds of metabolic processes, especially mitochondrial energy production; elevated NAD+ is studied for cellular energy and repair pathways central to longevity research.",1625.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/NAD1000P.png,BioKissed SA
Semaglutide 30mg Research Pen,SG30P,Metabolic & Weight Management,"Reconstituted research-pen format for convenient, pre-measured dosing. A GLP-1 receptor agonist studied for glucose-dependent insulin secretion, appetite suppression and slowed gastric emptying.",1525.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/SG30P.png,BioKissed SA
TB-500 10mg Research Pen,TB10P,Tissue Repair & Recovery,"Reconstituted research-pen format for convenient, pre-measured dosing. Promotes migration of stem cells to injured areas, helps form new blood vessels, reduces inflammation and prevents excessive scar tissue; often studied alongside BPC-157 for combined soft-tissue recovery.",1425.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/TB10P.png,BioKissed SA
Tirzepatide 60mg Research Pen,TZ60P,Metabolic & Weight Management,"Reconstituted research-pen format for convenient, pre-measured dosing. Investigated for its potential to support glucose-dependent insulin secretion, appetite regulation and gastric-emptying pathways.",2225.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/TZ60P.png,BioKissed SA
Bacteriostatic Water 3ml,BAC3,Accessories & Consumables,"Sterile water containing a small amount of benzyl alcohol, used to reconstitute freeze-dried peptides prior to research use. Not a peptide — an essential laboratory consumable.",276.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/biokissed/images/BAC3.png,BioKissed SA
