Handle,Title,Body (HTML),Included in Online Store,Image Src,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Price,Variant Compare At Price,Track Inventory,Allow Out of Stock Purchases,Available Quantity,SKU,Weight Value,Weight Unit,Dimension Length,Dimension Width,Dimension Height,Dimension Unit,Product Label Enable,Label Title,Label Start Date,Label End Date,SEO Title,SEO Description
bpc5,BPC5 - BPC-157 5mg,"Promotes blood-vessel formation, reduces inflammation and protects cells from damage — studied to speed the healing response in soft tissue, gut lining and joints.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/BPC5.png,Title,Default Title,,,,,600.00,,FALSE,TRUE,,BPC5,,,,,,,FALSE,,,,,
aod,AOD - AOD-9604,"Mimics the way natural growth hormone regulates fat metabolism, helping break down stored fat and prevent new fat formation without the broader effects of full-length GH.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/AOD.png,Title,Default Title,,,,,870.00,,FALSE,TRUE,,AOD,,,,,,,FALSE,,,,,
igf1,IGF1 - IGF-1 LR3,"Binds IGF-1 receptors to support anabolic signalling, protein synthesis, recovery pathways and metabolic regulation over an extended half-life.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/IGF1.png,Title,Default Title,,,,,1550.00,,FALSE,TRUE,,IGF1,,,,,,,FALSE,,,,,
ks10,KS10 - Kisspeptin 10mg,"Activates the hypothalamic-pituitary-gonadal axis, stimulating release of LH and FSH — a core subject in reproductive-hormone research.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/KS10.png,Title,Default Title,,,,,950.00,,FALSE,TRUE,,KS10,,,,,,,FALSE,,,,,
ms10,MS10 - MOTS-c 10mg,"Improves how mitochondria produce energy, helping cells burn fat and use glucose more efficiently, and activates AMPK — a key pathway in exercise and metabolic research.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/MS10.png,Title,Default Title,,,,,790.00,,FALSE,TRUE,,MS10,,,,,,,FALSE,,,,,
ms20,MS20 - MOTS-c 20mg,"Improves how mitochondria produce energy, helping cells burn fat and use glucose more efficiently, and activates AMPK — a key pathway in exercise and metabolic research.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/MS20.png,Title,Default Title,,,,,1050.00,,FALSE,TRUE,,MS20,,,,,,,FALSE,,,,,
ms40,MS40 - MOTS-c 40mg,"Improves how mitochondria produce energy, helping cells burn fat and use glucose more efficiently, and activates AMPK — a key pathway in exercise and metabolic research.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/MS40.png,Title,Default Title,,,,,1350.00,,FALSE,TRUE,,MS40,,,,,,,FALSE,,,,,
nad500,NAD500 - NAD+ 500mg,"Acts as a helper molecule in hundreds of metabolic processes, especially mitochondrial energy production; elevated NAD+ is studied for cellular energy and repair pathways central to longevity research.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/NAD500.png,Title,Default Title,,,,,849.00,,FALSE,TRUE,,NAD500,,,,,,,FALSE,,,,,
rt10,RT10 - Retatrutide 10mg,"Activates GIP, GLP-1 and glucagon receptors — supporting satiety, more effective insulin use and increased energy expenditure; one of the most closely watched compounds in current metabolic research.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/RT10.png,Title,Default Title,,,,,1049.00,,FALSE,TRUE,,RT10,,,,,,,FALSE,,,,,
rt20,RT20 - Retatrutide 20mg,"Activates GIP, GLP-1 and glucagon receptors — supporting satiety, more effective insulin use and increased energy expenditure; one of the most closely watched compounds in current metabolic research.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/RT20.png,Title,Default Title,,,,,1449.00,,FALSE,TRUE,,RT20,,,,,,,FALSE,,,,,
rt30,RT30 - Retatrutide 30mg,"Activates GIP, GLP-1 and glucagon receptors — supporting satiety, more effective insulin use and increased energy expenditure; one of the most closely watched compounds in current metabolic research.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/RT30.png,Title,Default Title,,,,,1799.00,,FALSE,TRUE,,RT30,,,,,,,FALSE,,,,,
rt40,RT40 - Retatrutide 40mg,"Activates GIP, GLP-1 and glucagon receptors — supporting satiety, more effective insulin use and increased energy expenditure; one of the most closely watched compounds in current metabolic research.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/RT40.png,Title,Default Title,,,,,2349.00,,FALSE,TRUE,,RT40,,,,,,,FALSE,,,,,
ts10,TS10 - Tesamorelin 10mg,Signals the pituitary gland to release growth hormone naturally rather than introducing GH directly; studied for its effect on visceral belly fat linked to metabolic risk.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/TS10.png,Title,Default Title,,,,,1149.00,,FALSE,TRUE,,TS10,,,,,,,FALSE,,,,,
ts20,TS20 - Tesamorelin 20mg,Signals the pituitary gland to release growth hormone naturally rather than introducing GH directly; studied for its effect on visceral belly fat linked to metabolic risk.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/TS20.png,Title,Default Title,,,,,1799.00,,FALSE,TRUE,,TS20,,,,,,,FALSE,,,,,
tz,TZ - Tirzepatide,"Investigated for its potential to support glucose-dependent insulin secretion, appetite regulation and gastric-emptying pathways.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/TZ.png,Title,Default Title,,,,,1249.00,,FALSE,TRUE,,TZ,,,,,,,FALSE,,,,,
ts5,TS5 - Tesamorelin 5mg,Signals the pituitary gland to release growth hormone naturally rather than introducing GH directly; studied for its effect on visceral belly fat linked to metabolic risk.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/TS5.png,Title,Default Title,,,,,910.00,,FALSE,TRUE,,TS5,,,,,,,FALSE,,,,,
amq5,AMQ5 - 5-Amino-1MQ 5mg,"Investigated for whether influencing NNMT pathways may affect energy expenditure, fat metabolism and body-composition regulation.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/AMQ5.png,Title,Default Title,,,,,580.00,,FALSE,TRUE,,AMQ5,,,,,,,FALSE,,,,,
ep10,EP10 - Epithalon 10mg,"Activates telomerase to help lengthen telomeres and slow cellular ageing, and regulates melatonin production — linked to circadian and longevity research.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/EP10.png,Title,Default Title,,,,,659.00,,FALSE,TRUE,,EP10,,,,,,,FALSE,,,,,
ep50,EP50 - Epithalon 50mg,"Activates telomerase to help lengthen telomeres and slow cellular ageing, and regulates melatonin production — linked to circadian and longevity research.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/EP50.png,Title,Default Title,,,,,1249.00,,FALSE,TRUE,,EP50,,,,,,,FALSE,,,,,
g5k,G5K - HCG 5000iu,Investigated for its ability to stimulate endogenous testosterone production and support reproductive function.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/G5K.png,Title,Default Title,,,,,749.00,,FALSE,TRUE,,G5K,,,,,,,FALSE,,,,,
slk10,SLK10 - Selank 10mg,"Modulates GABA, serotonin and dopamine systems; studied for reducing anxiety and stress without sedation — a focus of cognitive and stress-response research.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/SLK10.png,Title,Default Title,,,,,869.00,,FALSE,TRUE,,SLK10,,,,,,,FALSE,,,,,
tha1,THA1 - Thymosin Alpha-1,"Investigated for its potential to support T-cell maturation, immune signalling and cytokine activity.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/THA1.png,Title,Default Title,,,,,1309.00,,FALSE,TRUE,,THA1,,,,,,,FALSE,,,,,
sem10,SEM10 - Semax 10mg,"Increases brain-derived neurotrophic factor (BDNF) to promote neuron growth and survival; studied for effects on focus, mood and cognitive performance.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/SEM10.png,Title,Default Title,,,,,880.00,,FALSE,TRUE,,SEM10,,,,,,,FALSE,,,,,
ss50,SS50 - SS-31 50mg,"Investigated for its ability to bind cardiolipin within the inner mitochondrial membrane, supporting mitochondrial efficiency and ATP production.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/SS50.png,Title,Default Title,,,,,1829.00,,FALSE,TRUE,,SS50,,,,,,,FALSE,,,,,
fox,FOX - FOXO4-DRI,Disrupts the FOXO4-p53 interaction to allow apoptosis of senescent ('zombie') cells while largely sparing healthy cells — a focus of cellular-ageing research.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/FOX.png,Title,Default Title,,,,,2149.00,,FALSE,TRUE,,FOX,,,,,,,FALSE,,,,,
ss10,SS10 - SS-31 10mg,"Investigated for its ability to bind cardiolipin within the inner mitochondrial membrane, supporting mitochondrial efficiency and ATP production.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/SS10.png,Title,Default Title,,,,,1099.00,,FALSE,TRUE,,SS10,,,,,,,FALSE,,,,,
wlv10,WLV10 - Wolverine Blend - BPC-157 + TB-500 10mg (5mg+5mg),"A BPC-157 + TB-500 blend (5mg+5mg): BPC-157 targets rapid localised repair of gut, tendons and ligaments while TB-500 promotes whole-body healing, flexibility and blood-vessel formation — researched for accelerated recovery across multiple tissue types.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/WLV10.png,Title,Default Title,,,,,950.00,,FALSE,TRUE,,WLV10,,,,,,,FALSE,,,,,
bt20,BT20 - BPC-157 + TB-500 20mg,"A BPC-157 + TB-500 blend: BPC-157 targets rapid localised repair while TB-500 promotes whole-body healing, flexibility and blood-vessel formation — researched for accelerated recovery across multiple tissue types.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/BT20.png,Title,Default Title,,,,,1350.00,,FALSE,TRUE,,BT20,,,,,,,FALSE,,,,,
glw70,GLW70 - GLOW Stack 70mg,A regeneration and skin-quality stack: GHK-Cu promotes collagen production and skin regeneration while companion peptides support tissue remodelling and structural repair as a combined formula.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/GLW70.png,Title,Default Title,,,,,1399.00,,FALSE,TRUE,,GLW70,,,,,,,FALSE,,,,,
ghk100,GHK100 - GHK-Cu 100mg,"Stimulates collagen and elastin production, promotes wound healing, reduces inflammation and acts as a powerful antioxidant; the copper complex is widely researched for skin, hair and tissue-remodelling applications.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/GHK100.png,Title,Default Title,,,,,949.00,,FALSE,TRUE,,GHK100,,,,,,,FALSE,,,,,
ghk50,GHK50 - GHK-Cu 50mg,"Stimulates collagen and elastin production, promotes wound healing, reduces inflammation and acts as a powerful antioxidant; the copper complex is widely researched for skin, hair and tissue-remodelling applications.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/GHK50.png,Title,Default Title,,,,,749.00,,FALSE,TRUE,,GHK50,,,,,,,FALSE,,,,,
klw80,KLW80 - KLOW Stack 80mg,"A KLOW stack: GHK-Cu promotes collagen production and copper delivery for skin and tissue regeneration while partner peptides support recovery, hydration and structural repair as a combined formula.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/KLW80.png,Title,Default Title,,,,,1599.00,,FALSE,TRUE,,KLW80,,,,,,,FALSE,,,,,
mt10,MT10 - Melanotan 2 10mg,Activates melanocortin receptors in skin cells to trigger melanin production for a protective tan with UV exposure; also studied for effects on appetite and libido.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/MT10.png,Title,Default Title,,,,,750.00,,FALSE,TRUE,,MT10,,,,,,,FALSE,,,,,
pt10,PT10 - PT-141 10mg,Activates melanocortin receptors in the hypothalamus to trigger natural sexual arousal and desire; unlike some approaches it does not act directly on blood flow.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/PT10.png,Title,Default Title,,,,,739.00,,FALSE,TRUE,,PT10,,,,,,,FALSE,,,,,
snp10,SNP10 - Snap-8 10mg,"Studied for its potential to influence neurotransmitter signalling associated with facial muscle contractions — a topical, cosmetic-research peptide.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/SNP10.png,Title,Default Title,,,,,659.00,,FALSE,TRUE,,SNP10,,,,,,,FALSE,,,,,
bac,BAC - Bacteriostatic Water,"Sterile water containing a small amount of benzyl alcohol, used to reconstitute freeze-dried peptides prior to research use. Not a peptide — an essential laboratory consumable.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/BAC.png,Title,Default Title,,,,,0.00,,FALSE,TRUE,,BAC,,,,,,,FALSE,,,,,
bac10,BAC10 - Bacteriostatic Water 10ml,"Sterile water containing a small amount of benzyl alcohol, used to reconstitute freeze-dried peptides prior to research use. Not a peptide — an essential laboratory consumable.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/BAC10.png,Title,Default Title,,,,,150.00,,FALSE,TRUE,,BAC10,,,,,,,FALSE,,,,,
crt,CRT - Cartridge,Replacement cartridge accessory for compatible pen-style reconstitution and delivery devices.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/CRT.png,Title,Default Title,,,,,45.00,,FALSE,TRUE,,CRT,,,,,,,FALSE,,,,,
ice,ICE - Ice Pack,Reusable ice pack for temperature-controlled shipping of research compounds.,TRUE,,Title,Default Title,,,,,35.00,,FALSE,TRUE,,ICE,,,,,,,FALSE,,,,,
tbg,TBG - Thermal Bag,Insulated thermal bag for temperature-controlled delivery of research compounds.,TRUE,,Title,Default Title,,,,,100.00,,FALSE,TRUE,,TBG,,,,,,,FALSE,,,,,
dll,DLL - Delivery Local,Local courier delivery.,TRUE,,Title,Default Title,,,,,140.00,,FALSE,TRUE,,DLL,,,,,,,FALSE,,,,,
dln,DLN - Delivery National,National courier delivery.,TRUE,,Title,Default Title,,,,,160.00,,FALSE,TRUE,,DLN,,,,,,,FALSE,,,,,
ara10,ARA10 - ARA-290 10mg,A non-erythropoietic EPO derivative studied for activating the innate repair receptor to reduce inflammation and support nerve and tissue repair.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/ARA10.png,Title,Default Title,,,,,718.00,,FALSE,TRUE,,ARA10,,,,,,,FALSE,,,,,
dpn,DPN - Disposable Pen,Single-use pen device for convenient reconstitution and measured delivery of research compounds.,TRUE,,Title,Default Title,,,,,499.00,,FALSE,TRUE,,DPN,,,,,,,FALSE,,,,,
glu600,GLU600 - Glutathione 600mg,"The body's master antioxidant, studied for its role in cellular detoxification, oxidative-stress defence and skin brightening.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/GLU600.png,Title,Default Title,,,,,648.00,,FALSE,TRUE,,GLU600,,,,,,,FALSE,,,,,
kpv10,KPV10 - KPV 10mg,A tripeptide fragment of alpha-MSH studied for its anti-inflammatory action in the gut and skin and for supporting tissue healing.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/KPV10.png,Title,Default Title,,,,,648.00,,FALSE,TRUE,,KPV10,,,,,,,FALSE,,,,,
lmb10,LMB10 - Lemon Bottle 10ml,A lipolytic solution studied for localised fat breakdown; a research injectable investigated for body-contouring applications.,TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/LMB10.png,Title,Default Title,,,,,798.00,,FALSE,TRUE,,LMB10,,,,,,,FALSE,,,,,
mz10,MZ10 - Mazdutide 10mg,"A dual GLP-1 and glucagon receptor agonist studied for appetite regulation, glucose control and increased energy expenditure.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/MZ10.png,Title,Default Title,,,,,1548.00,,FALSE,TRUE,,MZ10,,,,,,,FALSE,,,,,
nad1000,NAD1000 - NAD+ 1000mg,"Acts as a helper molecule in hundreds of metabolic processes, especially mitochondrial energy production; elevated NAD+ is studied for cellular energy and repair pathways central to longevity research.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/NAD1000.png,Title,Default Title,,,,,1248.00,,FALSE,TRUE,,NAD1000,,,,,,,FALSE,,,,,
sg10,SG10 - Semaglutide 10mg,"A GLP-1 receptor agonist studied for glucose-dependent insulin secretion, appetite suppression and slowed gastric emptying.",FALSE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/SG10.png,Title,Default Title,,,,,0.00,,FALSE,FALSE,,SG10,,,,,,,FALSE,,,,,
sg30,SG30 - Semaglutide 30mg,"A GLP-1 receptor agonist studied for glucose-dependent insulin secretion, appetite suppression and slowed gastric emptying.",FALSE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/SG30.png,Title,Default Title,,,,,0.00,,FALSE,FALSE,,SG30,,,,,,,FALSE,,,,,
slu5,SLU5 - SLU-PP-332 5mg,An ERR agonist ('exercise mimetic') studied for its potential to increase energy expenditure and fat oxidation without physical exertion.,FALSE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/SLU5.png,Title,Default Title,,,,,0.00,,FALSE,FALSE,,SLU5,,,,,,,FALSE,,,,,
srm10,SRM10 - Sermorelin 10mg,"A growth-hormone-releasing hormone analogue that signals the pituitary to release growth hormone naturally; studied for recovery, body composition and sleep.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/SRM10.png,Title,Default Title,,,,,1048.00,,FALSE,TRUE,,SRM10,,,,,,,FALSE,,,,,
tz15,TZ15 - Tirzepatide 15mg,"Investigated for its potential to support glucose-dependent insulin secretion, appetite regulation and gastric-emptying pathways.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/TZ15.png,Title,Default Title,,,,,948.00,,FALSE,TRUE,,TZ15,,,,,,,FALSE,,,,,
tz30,TZ30 - Tirzepatide 30mg,"Investigated for its potential to support glucose-dependent insulin secretion, appetite regulation and gastric-emptying pathways.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/TZ30.png,Title,Default Title,,,,,1299.00,,FALSE,TRUE,,TZ30,,,,,,,FALSE,,,,,
tz60,TZ60 - Tirzepatide 60mg,"Investigated for its potential to support glucose-dependent insulin secretion, appetite regulation and gastric-emptying pathways.",TRUE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/TZ60.png,Title,Default Title,,,,,1848.00,,FALSE,TRUE,,TZ60,,,,,,,FALSE,,,,,
