Product Name,SKU,Category,Description,Price,Currency,Product Type,Image URL
RT30 - Retatrutide 30mg,RT30,2. Metabolic & Weight Management,"Activates GIP, GLP-1 and glucagon receptors — supporting satiety, more effective insulin use and increased energy expenditure; one of the most closely watched compounds in current metabolic research.",1748.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/RT30.png
RT40 - Retatrutide 40mg,RT40,2. Metabolic & Weight Management,"Activates GIP, GLP-1 and glucagon receptors — supporting satiety, more effective insulin use and increased energy expenditure; one of the most closely watched compounds in current metabolic research.",2148.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/RT40.png
TS10 - Tesamorelin 10mg,TS10,2. Metabolic & Weight Management,Signals the pituitary gland to release growth hormone naturally rather than introducing GH directly; studied for its effect on visceral belly fat linked to metabolic risk.,1149.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/TS10.png
TS20 - Tesamorelin 20mg,TS20,2. Metabolic & Weight Management,Signals the pituitary gland to release growth hormone naturally rather than introducing GH directly; studied for its effect on visceral belly fat linked to metabolic risk.,1748.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/TS20.png
TZ - Tirzepatide,TZ,2. Metabolic & Weight Management,"Investigated for its potential to support glucose-dependent insulin secretion, appetite regulation and gastric-emptying pathways.",1249.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/TZ.png
TS5 - Tesamorelin 5mg,TS5,2. Metabolic & Weight Management,Signals the pituitary gland to release growth hormone naturally rather than introducing GH directly; studied for its effect on visceral belly fat linked to metabolic risk.,899.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/TS5.png
AMQ5 - 5-Amino-1MQ 5mg,AMQ5,2. Metabolic & Weight Management,"Investigated for whether influencing NNMT pathways may affect energy expenditure, fat metabolism and body-composition regulation.",574.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/AMQ5.png
EP10 - Epithalon 10mg,EP10,3. Longevity & Cellular Health,"Activates telomerase to help lengthen telomeres and slow cellular ageing, and regulates melatonin production — linked to circadian and longevity research.",659.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/EP10.png
EP50 - Epithalon 50mg,EP50,3. Longevity & Cellular Health,"Activates telomerase to help lengthen telomeres and slow cellular ageing, and regulates melatonin production — linked to circadian and longevity research.",1148.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/EP50.png
G5K - HCG 5000iu,G5K,3. Longevity & Cellular Health,Investigated for its ability to stimulate endogenous testosterone production and support reproductive function.,748.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/G5K.png
SLK10 - Selank 10mg,SLK10,3. Longevity & Cellular Health,"Modulates GABA, serotonin and dopamine systems; studied for reducing anxiety and stress without sedation — a focus of cognitive and stress-response research.",869.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/SLK10.png
THA1 - Thymosin Alpha-1,THA1,3. Longevity & Cellular Health,"Investigated for its potential to support T-cell maturation, immune signalling and cytokine activity.",1298.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/THA1.png
SEM10 - Semax 10mg,SEM10,3. Longevity & Cellular Health,"Increases brain-derived neurotrophic factor (BDNF) to promote neuron growth and survival; studied for effects on focus, mood and cognitive performance.",869.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/SEM10.png
SS50 - SS-31 50mg,SS50,3. Longevity & Cellular Health,"Investigated for its ability to bind cardiolipin within the inner mitochondrial membrane, supporting mitochondrial efficiency and ATP production.",1848.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/SS50.png
FOX - FOXO4-DRI,FOX,3. Longevity & Cellular Health,Disrupts the FOXO4-p53 interaction to allow apoptosis of senescent ('zombie') cells while largely sparing healthy cells — a focus of cellular-ageing research.,2148.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/FOX.png
SS10 - SS-31 10mg,SS10,3. Longevity & Cellular Health,"Investigated for its ability to bind cardiolipin within the inner mitochondrial membrane, supporting mitochondrial efficiency and ATP production.",1048.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/SS10.png
WLV10 - Wolverine Blend - BPC-157 + TB-500 10mg (5mg+5mg),WLV10,4. Specialty Combination Stacks,"A BPC-157 + TB-500 blend (5mg+5mg): BPC-157 targets rapid localised repair of gut, tendons and ligaments while TB-500 promotes whole-body healing, flexibility and blood-vessel formation — researched for accelerated recovery across multiple tissue types.",949.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/WLV10.png
BT20 - BPC-157 + TB-500 20mg,BT20,4. Specialty Combination Stacks,"A BPC-157 + TB-500 blend: BPC-157 targets rapid localised repair while TB-500 promotes whole-body healing, flexibility and blood-vessel formation — researched for accelerated recovery across multiple tissue types.",1349.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/BT20.png
GLW70 - GLOW Stack 70mg,GLW70,4. Specialty Combination Stacks,A regeneration and skin-quality stack: GHK-Cu promotes collagen production and skin regeneration while companion peptides support tissue remodelling and structural repair as a combined formula.,1399.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/GLW70.png
GHK100 - GHK-Cu 100mg,GHK100,4. Specialty Combination Stacks,"Stimulates collagen and elastin production, promotes wound healing, reduces inflammation and acts as a powerful antioxidant; the copper complex is widely researched for skin, hair and tissue-remodelling applications.",948.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/GHK100.png
GHK50 - GHK-Cu 50mg,GHK50,4. Specialty Combination Stacks,"Stimulates collagen and elastin production, promotes wound healing, reduces inflammation and acts as a powerful antioxidant; the copper complex is widely researched for skin, hair and tissue-remodelling applications.",748.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/GHK50.png
KLW80 - KLOW Stack 80mg,KLW80,4. Specialty Combination Stacks,"A KLOW stack: GHK-Cu promotes collagen production and copper delivery for skin and tissue regeneration while partner peptides support recovery, hydration and structural repair as a combined formula.",1599.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/KLW80.png
MT10 - Melanotan 2 10mg,MT10,5. Hormonal & Vitality,Activates melanocortin receptors in skin cells to trigger melanin production for a protective tan with UV exposure; also studied for effects on appetite and libido.,749.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/MT10.png
PT10 - PT-141 10mg,PT10,5. Hormonal & Vitality,Activates melanocortin receptors in the hypothalamus to trigger natural sexual arousal and desire; unlike some approaches it does not act directly on blood flow.,728.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/PT10.png
SNP10 - Snap-8 10mg,SNP10,5. Hormonal & Vitality,"Studied for its potential to influence neurotransmitter signalling associated with facial muscle contractions — a topical, cosmetic-research peptide.",648.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/SNP10.png
BAC - Bacteriostatic Water,BAC,6. Accessories & Consumables,"Sterile water containing a small amount of benzyl alcohol, used to reconstitute freeze-dried peptides prior to research use. Not a peptide — an essential laboratory consumable.",0.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/BAC.png
BAC10 - Bacteriostatic Water 10ml,BAC10,6. Accessories & Consumables,"Sterile water containing a small amount of benzyl alcohol, used to reconstitute freeze-dried peptides prior to research use. Not a peptide — an essential laboratory consumable.",299.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/BAC10.png
CRT - Cartridge,CRT,6. Accessories & Consumables,Replacement cartridge accessory for compatible pen-style reconstitution and delivery devices.,45.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/CRT.png
ICE - Ice Pack,ICE,7. Options & Delivery,Reusable ice pack for temperature-controlled shipping of research compounds.,35.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/ICE.png
TBG - Thermal Bag,TBG,7. Options & Delivery,Insulated thermal bag for temperature-controlled delivery of research compounds.,100.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/TBG.png
DLL - Delivery Local,DLL,7. Options & Delivery,Local courier delivery within the metro area.,145.00,ZAR,SERVICE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/DLL.png
DLN - Delivery National,DLN,7. Options & Delivery,National courier delivery across South Africa.,249.00,ZAR,SERVICE,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/DLN.png
ARA10 - ARA-290 10mg,ARA10,1. Tissue Repair & Recovery,A non-erythropoietic EPO derivative studied for activating the innate repair receptor to reduce inflammation and support nerve and tissue repair.,718.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/ARA10.png
DPN - Disposable Pen,DPN,6. Accessories & Consumables,Single-use pen device for convenient reconstitution and measured delivery of research compounds.,499.00,ZAR,PHYSICAL,
GLU600 - Glutathione 600mg,GLU600,3. Longevity & Cellular Health,"The body's master antioxidant, studied for its role in cellular detoxification, oxidative-stress defence and skin brightening.",648.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/GLU600.png
KPV10 - KPV 10mg,KPV10,1. Tissue Repair & Recovery,A tripeptide fragment of alpha-MSH studied for its anti-inflammatory action in the gut and skin and for supporting tissue healing.,648.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/KPV10.png
LMB10 - Lemon Bottle 10ml,LMB10,2. Metabolic & Weight Management,A lipolytic solution studied for localised fat breakdown; a research injectable investigated for body-contouring applications.,798.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/LMB10.png
MZ10 - Mazdutide 10mg,MZ10,2. Metabolic & Weight Management,"A dual GLP-1 and glucagon receptor agonist studied for appetite regulation, glucose control and increased energy expenditure.",1548.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/MZ10.png
NAD1000 - NAD+ 1000mg,NAD1000,2. Metabolic & Weight Management,"Acts as a helper molecule in hundreds of metabolic processes, especially mitochondrial energy production; elevated NAD+ is studied for cellular energy and repair pathways central to longevity research.",1248.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/NAD1000.png
SG10 - Semaglutide 10mg,SG10,2. Metabolic & Weight Management,"A GLP-1 receptor agonist studied for glucose-dependent insulin secretion, appetite suppression and slowed gastric emptying.",0.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/SG10.png
SG30 - Semaglutide 30mg,SG30,2. Metabolic & Weight Management,"A GLP-1 receptor agonist studied for glucose-dependent insulin secretion, appetite suppression and slowed gastric emptying.",0.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/SG30.png
SLU5 - SLU-PP-332 5mg,SLU5,2. Metabolic & Weight Management,An ERR agonist ('exercise mimetic') studied for its potential to increase energy expenditure and fat oxidation without physical exertion.,0.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/SLU5.png
SRM10 - Sermorelin 10mg,SRM10,1. Tissue Repair & Recovery,"A growth-hormone-releasing hormone analogue that signals the pituitary to release growth hormone naturally; studied for recovery, body composition and sleep.",1048.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/SRM10.png
TZ15 - Tirzepatide 15mg,TZ15,2. Metabolic & Weight Management,"Investigated for its potential to support glucose-dependent insulin secretion, appetite regulation and gastric-emptying pathways.",948.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/TZ15.png
TZ30 - Tirzepatide 30mg,TZ30,2. Metabolic & Weight Management,"Investigated for its potential to support glucose-dependent insulin secretion, appetite regulation and gastric-emptying pathways.",1299.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/TZ30.png
TZ60 - Tirzepatide 60mg,TZ60,2. Metabolic & Weight Management,"Investigated for its potential to support glucose-dependent insulin secretion, appetite regulation and gastric-emptying pathways.",1848.00,ZAR,PHYSICAL,https://raw.githubusercontent.com/johngrundeling/skills-introduction-to-github/refs/heads/claude/catalog-product-codes-kkncc3/molecule-co/images/TZ60.png
